"","V1","V2","V3","V4","V5","V6"
"1","0","0","0","0","0","ENSDART00000000004"
"2","0","0","0","0","0","ENSDART00000000005"
"3","0","0","0","0","0","ENSDART00000000019"
"4","0","0","0","0","0","ENSDART00000000069"
"5","0","0","0","0","0","ENSDART00000000070"
"6","0","0","0","0","0","ENSDART00000000087"
"7","0","0","0","0","0","ENSDART00000000160"
"8","0","0","0","0","0","ENSDART00000000192"
"9","0","0","0","0","0","ENSDART00000000198"
"10","0","0","0","0","0","ENSDART00000000221"
"11","0","0","0","0","0","ENSDART00000000250"
"12","0","0","0","0","0","ENSDART00000000280"
"13","0","0","0","0","0","ENSDART00000000382"
"14","0","0","0","0","0","ENSDART00000000552"
"15","0","0","0","0","0","ENSDART00000000564"
"16","0","0","0","0","0","ENSDART00000000566"
"17","0","0","0","0","0","ENSDART00000000595"
"18","0","0","0","0","0","ENSDART00000000698"
"19","0","0","0","0","0","ENSDART00000000744"
"20","0","0","0","0","0","ENSDART00000000831"
"21","0","0","0","0","0","ENSDART00000000841"
"22","0","0","0","0","0","ENSDART00000000876"
"23","0","0","0","0","0","ENSDART00000000887"
"24","0","0","0","0","0","ENSDART00000000915"
"25","0","0","0","0","0","ENSDART00000001098"
"26","0","0","0","0","0","ENSDART00000001102"
"27","0","0","0","0","0","ENSDART00000001159"
"28","0","0","0","0","0","ENSDART00000001201"
"29","0","0","0","0","0","ENSDART00000001253"
"30","0","0","0","0","0","ENSDART00000001318"
"31","0","0","0","0","0","ENSDART00000001320"
"32","0","0","0","0","0","ENSDART00000001323"
"33","0","0","0","0","0","ENSDART00000001359"
"34","0","0","0","0","0","ENSDART00000001376"
"35","0","0","0","0","0","ENSDART00000001424"
"36","0","0","0","0","0","ENSDART00000001444"
"37","0","0","0","0","0","ENSDART00000001678"
"38","0","0","0","0","0","ENSDART00000001803"
"39","0","0","0","0","0","ENSDART00000001804"
"40","0","0","0","0","0","ENSDART00000001830"
"41","0","0","0","0","0","ENSDART00000001861"
"42","0","0","0","0","0","ENSDART00000001907"
"43","0","0","0","0","0","ENSDART00000001930"
"44","0","0","0","0","0","ENSDART00000002000"
"45","0","0","0","0","0","ENSDART00000002027"
"46","0","0","0","0","0","ENSDART00000002029"
"47","0","0","0","0","0","ENSDART00000002053"
"48","0","0","0","0","0","ENSDART00000002075"
"49","0","0","0","0","0","ENSDART00000002095"
"50","0","0","0","0","0","ENSDART00000002104"
"51","0","0","0","0","0","ENSDART00000002164"
"52","0","0","0","0","0","ENSDART00000002186"
"53","0","0","0","0","0","ENSDART00000002221"
"54","0","0","0","0","0","ENSDART00000002225"
"55","0","0","0","0","0","ENSDART00000002231"
"56","0","0","0","0","0","ENSDART00000002244"
"57","0","0","0","0","0","ENSDART00000002247"
"58","0","0","0","0","0","ENSDART00000002250"
"59","0","0","0","0","0","ENSDART00000002279"
"60","0","0","0","0","0","ENSDART00000002309"
"61","0","0","0","0","0","ENSDART00000002318"
"62","0","0","0","0","0","ENSDART00000002401"
"63","0","0","0","0","0","ENSDART00000002449"
"64","0","0","0","0","0","ENSDART00000002453"
"65","0","0","0","0","0","ENSDART00000002459"
"66","0","0","0","0","0","ENSDART00000002463"
"67","0","0","0","0","0","ENSDART00000002464"
"68","0","0","0","0","0","ENSDART00000002465"
"69","0","0","0","0","0","ENSDART00000002469"
"70","0","0","0","0","0","ENSDART00000002481"
"71","0","0","0","0","0","ENSDART00000002493"
"72","0","0","0","0","0","ENSDART00000002498"
"73","0","0","0","0","0","ENSDART00000002501"
"74","0","0","0","0","0","ENSDART00000002510"
"75","0","0","0","0","0","ENSDART00000002545"
"76","0","0","0","0","0","ENSDART00000002556"
"77","0","0","0","0","0","ENSDART00000002562"
"78","0","0","0","0","0","ENSDART00000002568"
"79","0","0","0","0","0","ENSDART00000002571"
"80","0","0","0","0","0","ENSDART00000002583"
"81","0","0","0","0","0","ENSDART00000002595"
"82","0","0","0","0","0","ENSDART00000002622"
"83","0","0","0","0","0","ENSDART00000002624"
"84","0","0","0","0","0","ENSDART00000002633"
"85","0","0","0","0","0","ENSDART00000002661"
"86","0","0","0","0","0","ENSDART00000002714"
"87","0","0","0","0","0","ENSDART00000002741"
"88","0","0","0","0","0","ENSDART00000002750"
"89","0","0","0","0","0","ENSDART00000002763"
"90","0","0","0","0","0","ENSDART00000002764"
"91","0","0","0","0","0","ENSDART00000002770"
"92","0","0","0","0","0","ENSDART00000002773"
"93","0","0","0","0","0","ENSDART00000002777"
"94","0","0","0","0","0","ENSDART00000002778"
"95","0","0","0","0","0","ENSDART00000002783"
"96","0","0","0","0","0","ENSDART00000002812"
"97","0","0","0","0","0","ENSDART00000002824"
"98","0","0","0","0","0","ENSDART00000002826"
"99","0","0","0","0","0","ENSDART00000002834"
"100","0","0","0","0","0","ENSDART00000002835"
"101","0","0","0","0","0","ENSDART00000002842"
"102","0","0","0","0","0","ENSDART00000002846"
"103","0","0","0","0","0","ENSDART00000002867"
"104","0","0","0","0","0","ENSDART00000002886"
"105","0","0","0","0","0","ENSDART00000002892"
"106","0","0","0","0","0","ENSDART00000002932"
"107","0","0","0","0","0","ENSDART00000002938"
"108","0","0","0","0","0","ENSDART00000002945"
"109","0","0","0","0","0","ENSDART00000002954"
"110","0","0","0","0","0","ENSDART00000002961"
"111","0","0","0","0","0","ENSDART00000002962"
"112","0","0","0","0","0","ENSDART00000002985"
"113","0","0","0","0","0","ENSDART00000002992"
"114","0","0","0","0","0","ENSDART00000003001"
"115","0","0","0","0","0","ENSDART00000003022"
"116","0","0","0","0","0","ENSDART00000003042"
"117","0","0","0","0","0","ENSDART00000003066"
"118","0","0","0","0","0","ENSDART00000003133"
"119","0","0","0","0","0","ENSDART00000003143"
"120","0","0","0","0","0","ENSDART00000003167"
"121","0","0","0","0","0","ENSDART00000003170"
"122","0","0","0","0","0","ENSDART00000003181"
"123","0","0","0","0","0","ENSDART00000003193"
"124","0","0","0","0","0","ENSDART00000003195"
"125","0","0","0","0","0","ENSDART00000003211"
"126","0","0","0","0","0","ENSDART00000003221"
"127","0","0","0","0","0","ENSDART00000003240"
"128","0","0","0","0","0","ENSDART00000003248"
"129","0","0","0","0","0","ENSDART00000003252"
"130","0","0","0","0","0","ENSDART00000003273"
"131","0","0","0","0","0","ENSDART00000003293"
"132","0","0","0","0","0","ENSDART00000003296"
"133","0","0","0","0","0","ENSDART00000003303"
"134","0","0","0","0","0","ENSDART00000003314"
"135","0","0","0","0","0","ENSDART00000003317"
"136","0","0","0","0","0","ENSDART00000003325"
"137","0","0","0","0","0","ENSDART00000003335"
"138","0","0","0","0","0","ENSDART00000003346"
"139","0","0","0","0","0","ENSDART00000003347"
"140","0","0","0","0","0","ENSDART00000003385"
"141","0","0","0","0","0","ENSDART00000003418"
"142","0","0","0","0","0","ENSDART00000003422"
"143","0","0","0","0","0","ENSDART00000003425"
"144","0","0","0","0","0","ENSDART00000003428"
"145","0","0","0","0","0","ENSDART00000003435"
"146","0","0","0","0","0","ENSDART00000003441"
"147","0","0","0","0","0","ENSDART00000003444"
"148","0","0","0","0","0","ENSDART00000003465"
"149","0","0","0","0","0","ENSDART00000003482"
"150","0","0","0","0","0","ENSDART00000003497"
"151","0","0","0","0","0","ENSDART00000003503"
"152","0","0","0","0","0","ENSDART00000003505"
"153","0","0","0","0","0","ENSDART00000003517"
"154","0","0","0","0","0","ENSDART00000003518"
"155","0","0","0","0","0","ENSDART00000003543"
"156","0","0","0","0","0","ENSDART00000003544"
"157","0","0","0","0","0","ENSDART00000003548"
"158","0","0","0","0","0","ENSDART00000003552"
"159","0","0","0","0","0","ENSDART00000003583"
"160","0","0","0","0","0","ENSDART00000003612"
"161","0","0","0","0","0","ENSDART00000003618"
"162","0","0","0","0","0","ENSDART00000003634"
"163","0","0","0","0","0","ENSDART00000003648"
"164","0","0","0","0","0","ENSDART00000003670"
"165","0","0","0","0","0","ENSDART00000003674"
"166","0","0","0","0","0","ENSDART00000003694"
"167","0","0","0","0","0","ENSDART00000003701"
"168","0","0","0","0","0","ENSDART00000003715"
"169","0","0","0","0","0","ENSDART00000003736"
"170","0","0","0","0","0","ENSDART00000003745"
"171","0","0","0","0","0","ENSDART00000003752"
"172","0","0","0","0","0","ENSDART00000003789"
"173","0","0","0","0","0","ENSDART00000003790"
"174","0","0","0","0","0","ENSDART00000003801"
"175","0","0","0","0","0","ENSDART00000003826"
"176","0","0","0","0","0","ENSDART00000003834"
"177","0","0","0","0","0","ENSDART00000003879"
"178","0","0","0","0","0","ENSDART00000003884"
"179","0","0","0","0","0","ENSDART00000003888"
"180","0","0","0","0","0","ENSDART00000003891"
"181","0","0","0","0","0","ENSDART00000003913"
"182","0","0","0","0","0","ENSDART00000003922"
"183","0","0","0","0","0","ENSDART00000003926"
"184","0","0","0","0","0","ENSDART00000003929"
"185","0","0","0","0","0","ENSDART00000003939"
"186","0","0","0","0","0","ENSDART00000003940"
"187","0","0","0","0","0","ENSDART00000003946"
"188","0","0","0","0","0","ENSDART00000003947"
"189","0","0","0","0","0","ENSDART00000003957"
"190","0","0","0","0","0","ENSDART00000003962"
"191","0","0","0","0","0","ENSDART00000003978"
"192","0","0","0","0","0","ENSDART00000003993"
"193","0","0","0","0","0","ENSDART00000003998"
"194","0","0","0","0","0","ENSDART00000004023"
"195","0","0","0","0","0","ENSDART00000004031"
"196","0","0","0","0","0","ENSDART00000004034"
"197","0","0","0","0","0","ENSDART00000004041"
"198","0","0","0","0","0","ENSDART00000004062"
"199","0","0","0","0","0","ENSDART00000004065"
"200","0","0","0","0","0","ENSDART00000004075"
"201","0","0","0","0","0","ENSDART00000004092"
"202","0","0","0","0","0","ENSDART00000004109"
"203","0","0","0","0","0","ENSDART00000004122"
"204","0","0","0","0","0","ENSDART00000004217"
"205","0","0","0","0","0","ENSDART00000004220"
"206","0","0","0","0","0","ENSDART00000004233"
"207","0","0","0","0","0","ENSDART00000004238"
"208","0","0","0","0","0","ENSDART00000004241"
"209","0","0","0","0","0","ENSDART00000004255"
"210","0","0","0","0","0","ENSDART00000004273"
"211","0","0","0","0","0","ENSDART00000004277"
"212","0","0","0","0","0","ENSDART00000004284"
"213","0","0","0","0","0","ENSDART00000004286"
"214","0","0","0","0","0","ENSDART00000004288"
"215","0","0","0","0","0","ENSDART00000004295"
"216","0","0","0","0","0","ENSDART00000004338"
"217","0","0","0","0","0","ENSDART00000004357"
"218","0","0","0","0","0","ENSDART00000004361"
"219","0","0","0","0","0","ENSDART00000004379"
"220","0","0","0","0","0","ENSDART00000004392"
"221","0","0","0","0","0","ENSDART00000004398"
"222","0","0","0","0","0","ENSDART00000004420"
"223","0","0","0","0","0","ENSDART00000004423"
"224","0","0","0","0","0","ENSDART00000004424"
"225","0","0","0","0","0","ENSDART00000004431"
"226","0","0","0","0","0","ENSDART00000004474"
"227","0","0","0","0","0","ENSDART00000004498"
"228","0","0","0","0","0","ENSDART00000004504"
"229","0","0","0","0","0","ENSDART00000004514"
"230","0","0","0","0","0","ENSDART00000004521"
"231","0","0","0","0","0","ENSDART00000004539"
"232","0","0","0","0","0","ENSDART00000004544"
"233","0","0","0","0","0","ENSDART00000004550"
"234","0","0","0","0","0","ENSDART00000004553"
"235","0","0","0","0","0","ENSDART00000004585"
"236","0","0","0","0","0","ENSDART00000004588"
"237","0","0","0","0","0","ENSDART00000004601"
"238","0","0","0","0","0","ENSDART00000004622"
"239","0","0","0","0","0","ENSDART00000004626"
"240","0","0","0","0","0","ENSDART00000004655"
"241","0","0","0","0","0","ENSDART00000004656"
"242","0","0","0","0","0","ENSDART00000004664"
"243","0","0","0","0","0","ENSDART00000004666"
"244","0","0","0","0","0","ENSDART00000004678"
"245","0","0","0","0","0","ENSDART00000004679"
"246","0","0","0","0","0","ENSDART00000004686"
"247","0","0","0","0","0","ENSDART00000004692"
"248","0","0","0","0","0","ENSDART00000004716"
"249","0","0","0","0","0","ENSDART00000004727"
"250","0","0","0","0","0","ENSDART00000004735"
"251","0","0","0","0","0","ENSDART00000004739"
"252","0","0","0","0","0","ENSDART00000004751"
"253","0","0","0","0","0","ENSDART00000004769"
"254","0","0","0","0","0","ENSDART00000004771"
"255","0","0","0","0","0","ENSDART00000004779"
"256","0","0","0","0","0","ENSDART00000004780"
"257","0","0","0","0","0","ENSDART00000004782"
"258","0","0","0","0","0","ENSDART00000004797"
