Header	Sample	Name	TERM_1	Number
REGENS:254	SL87462_49.isoforms.results_counts	Fin_4dpa_DMSO_1	Fin_4dpa_DMSO	1
REGENS:255	SL87463_50.isoforms.results_counts	Fin_4dpa_DMSO_2	Fin_4dpa_DMSO	2
REGENS:256	SL87464_51.isoforms.results_counts	Fin_4dpa_DMSO_3	Fin_4dpa_DMSO	3
REGENS:257	SL87465_52.isoforms.results_counts	Fin_4dpa_ZF143_1	Fin_4dpa_ZF143	4
REGENS:258	SL87466_53.isoforms.results_counts	Fin_4dpa_ZF143_2	Fin_4dpa_ZF143	5
REGENS:259	SL87467_54.isoforms.results_counts	Fin_4dpa_ZF143_3	Fin_4dpa_ZF143	6
