ProbeID	REGENS:248	REGENS:249	REGENS:250	REGENS:251	REGENS:252	REGENS:253
ENSDART00000135422	0.15271171	0.241414266	0.111133265	0.171212741	0.169471352	0
ENSDART00000135423	0	0	0	0	0	0
ENSDART00000135425	0.613881187	0.085039773	0	0.429227828	0.458317862	0.277986875
ENSDART00000135426	3.391058934	3.191574612	3.309636654	3.474029768	3.345041957	3.090387826
ENSDART00000135427	0	0	0	0	0	0
ENSDART00000135428	1.449262075	1.629816306	1.172826121	1.416602596	1.655419955	1.360196082
ENSDART00000135429	0	0	0	0	0	0
ENSDART00000135430	7.194099242	7.618672136	7.317392156	7.389232113	7.410621243	7.470022656
ENSDART00000135431	1.46393507	1.542300139	1.303380945	1.515292646	1.597174751	0.968096687
ENSDART00000135432	1.043163517	0.571177656	0.400871567	1.02824244	0.779651601	0.66391832
ENSDART00000135433	0	0.571177656	0.371406294	0.044745435	0.169471352	0
ENSDART00000135434	0	0	0.111133265	0.130276517	0	0
ENSDART00000135435	3.05546175	4.546845596	2.252048414	0.812315595	1.765297684	3.314933983
ENSDART00000135436	4.263041194	4.034898442	4.458119285	4.383858266	4.210451659	4.07989616
ENSDART00000135437	0.355176982	0.20388078	0.400871567	0.704892388	0.670903721	0.36981817
ENSDART00000135438	1.326174584	0.684522389	1.423095568	1.483140285	1.489219944	1.081090331
ENSDART00000135439	0	0	0	0.088144729	0	0
ENSDART00000135440	0	0.085039773	0	0	0.044270411	0
ENSDART00000135441	0.188491123	1.465082466	0.371406294	0.55828459	0.391345143	0.563772206
ENSDART00000135442	1.081728175	0.956884283	1.048015946	0.959795829	0.831098464	0.780052647
ENSDART00000135443	5.813583657	6.162166753	6.114889715	6.150936669	6.353513943	6.375024267
ENSDART00000135444	0.116022338	0.165344672	0.038003601	0.130276517	0	0.074677299
ENSDART00000135445	0	0	0	0	0	0
ENSDART00000135446	0.15271171	0	0	0	0	0
ENSDART00000135447	0.15271171	0	0.111133265	0	0.087222692	0
ENSDART00000135449	3.320251889	2.66518684	3.233890218	3.144664326	3.035329021	2.84047368
ENSDART00000135450	0.983311933	1.400187348	1.318899909	0.812315595	0.28466933	1.081090331
ENSDART00000135451	0.188491123	0.20388078	0.279217936	0.171212741	0.208901612	0.110614702
